Harry Potter i więzień Azkabanu,J.K. Rowling,08.07.1999,Trzecia część powieści o młodym czarodzieju
Harry Potter i Czara Ognia,J.K. Rowling,08.07.2000,Czwarta część powieści o młodym czarodzieju
